symbol,date
CRDO,2025-04-10
CRDO,2026-03-24
CRWV,2025-04-07
CRWV,2025-08-07
CRWV,2025-09-09
EQX,2024-09-10
EQX,2025-01-06
EQX,2025-01-22
EQX,2025-01-31
EQX,2025-03-18
EQX,2025-04-01
EQX,2025-04-16
EQX,2025-04-17
EQX,2025-07-25
EQX,2025-08-04
EQX,2026-08-06
EXK,2024-10-30
EXK,2024-12-06
EXK,2024-12-12
EXK,2025-10-14
EXK,2026-07-07
FSM,2025-02-18
FSM,2025-03-24
FSM,2025-03-26
FSM,2025-03-27
FSM,2025-04-15
FSM,2025-04-16
FSM,2025-04-17
FSM,2025-04-22
FSM,2025-06-05
FSM,2025-10-22
FSM,2026-03-02
FSM,2026-04-20
FSM,2026-05-06
HIMS,2024-12-03
HIMS,2025-04-07
HIMS,2025-04-23
HIMS,2025-08-26
HIMS,2026-03-12
HIMS,2026-04-17
HL,2025-03-31
HL,2026-02-04
HL,2026-02-12
HL,2026-03-23
HL,2026-06-03
HMY,2024-11-15
HMY,2026-05-18
HOOD,2024-10-31
HOOD,2024-11-21
HOOD,2025-02-13
HOOD,2026-01-23
HOOD,2026-08-10
HUT,2025-06-02
HUT,2025-08-07
HUT,2025-08-14
HUT,2026-04-06
IONQ,2024-09-13
IONQ,2024-12-20
IONQ,2025-03-14
IONQ,2025-04-02
IONQ,2025-10-08
IONQ,2026-04-14
IONQ,2026-05-26
IONQ,2026-06-26
IREN,2026-04-17
IREN,2026-06-03
JOBY,2024-09-20
JOBY,2024-11-25
JOBY,2025-08-26
JOBY,2025-08-28
LITE,2024-11-21
LITE,2025-04-25
LITE,2025-10-10
LRCX,2024-09-10
LRCX,2026-05-15
LUNR,2025-03-07
LUNR,2025-07-23
LUNR,2026-07-07
MARA,2025-03-28
MP,2024-09-27
MP,2025-05-14
MP,2025-10-23
MP,2025-12-09
MP,2026-07-10
MP,2026-08-20
MSTR,2026-01-13
MSTR,2026-03-10
MSTR,2026-04-15
MSTR,2026-05-06
MSTR,2026-05-21
MSTR,2026-06-03
NBIS,2022-02-22
NBIS,2024-11-12
NBIS,2025-02-03
NBIS,2026-06-23
NVTS,2025-02-25
NVTS,2025-03-05
NVTS,2025-03-28
NVTS,2025-04-07
NVTS,2026-02-25
OKLO,2024-10-03
OKLO,2025-03-31
OKLO,2025-04-07
OKLO,2025-06-04
OKLO,2026-05-18
OKLO,2026-06-11
OKLO,2026-06-18
ONDS,2024-09-24
ONDS,2024-10-07
ONDS,2024-11-19
ONDS,2024-12-11
ONDS,2024-12-12
ONDS,2024-12-19
ONDS,2025-03-25
ONDS,2025-04-28
ONDS,2025-05-06
ONDS,2025-06-25
QBTS,2024-10-17
QBTS,2024-11-05
QBTS,2024-11-15
QBTS,2024-12-02
QBTS,2025-09-26
QBTS,2025-11-11
QBTS,2025-11-14
RGTI,2024-09-30
RGTI,2024-10-07
RGTI,2024-11-04
RGTI,2026-05-27
RIOT,2024-11-12
RIOT,2025-12-19
RIOT,2026-04-02
RKLB,2024-11-08
RKLB,2025-08-26
RKLB,2026-06-01
RKLB,2026-07-24
RUN,2025-09-09
RUN,2026-05-26
SBET,2024-12-03
SBET,2024-12-06
SBET,2024-12-10
SBET,2025-02-11
SBET,2025-02-24
SBET,2025-05-01
SBET,2025-05-23
SMR,2025-02-03
SMR,2025-02-11
SMR,2025-03-13
SMR,2025-05-20
SMR,2025-07-01
SMR,2025-07-24
SMR,2025-09-23
SMR,2025-10-22
SMR,2026-04-24
SMR,2026-04-29
SMR,2026-05-27
SMR,2026-06-03
SMR,2026-08-21
SNDK,2025-02-24
SOUN,2025-04-02
SOUN,2025-08-25
TEM,2024-09-09
TEM,2025-01-21
TEM,2025-03-25
TEM,2026-05-14
TEM,2026-07-13
UUUU,2024-10-03
UUUU,2025-04-02
UUUU,2026-07-28
VRT,2025-01-10
VRT,2025-04-09
WULF,2026-05-26
